periodo,n_lic,n_oc,ratio_lic_oc
2024-09,147755,372489,0.3966694318489942
2024-10,199155,487577,0.40845856141696596
2024-11,475782,427333,1.113375283444059
2024-12,312983,321890,0.9723290565099879
2025-01,0,30659,0.0
2025-02,452154,288623,1.566590327174203
2025-03,485478,35075,13.841140413399858
2025-04,494536,404011,1.2240656813799624
2025-05,470000,380491,1.235246037356994
2025-06,407938,370198,1.101945445410294
2025-07,372640,383416,0.9718947566090095
2025-08,358505,367381,0.9758397957433835
2025-09,265167,337062,0.7867009630275735
2025-10,190988,350607,0.5447352733972796
