periodo,dominio,n_archivos,size_mb
2024-09,LIC,1,292.5746326446533
2024-09,OC,1,633.0253419876099
2024-10,LIC,1,361.86809825897217
2024-10,OC,1,812.6793613433838
2024-11,LIC,1,823.1005783081055
2024-11,OC,1,757.5517301559448
2024-12,LIC,1,546.591962814331
2024-12,OC,1,666.3632078170776
2025-01,LIC,1,0.00014781951904296875
2025-01,OC,1,585.0736484527588
2025-02,LIC,1,997.4143552780151
2025-02,OC,1,571.1617517471313
2025-03,LIC,1,877.2451419830322
2025-03,OC,1,0.012568473815917969
2025-04,LIC,1,901.798134803772
2025-04,OC,1,756.5762872695923
2025-05,LIC,1,875.3148536682129
2025-05,OC,1,709.9956321716309
2025-06,LIC,1,760.3391733169556
2025-06,OC,1,703.1319227218628
2025-07,LIC,1,694.2589244842529
2025-07,OC,1,725.6419382095337
2025-08,LIC,1,679.8023252487183
2025-08,OC,1,705.5217657089233
2025-09,LIC,1,504.8964738845825
2025-09,OC,1,652.8175849914551
2025-10,LIC,1,380.8112506866455
2025-10,OC,1,749.2501821517944
2025-11,LIC,1,885.5145874023438
2025-11,OC,1,738.6774635314941
